,0,1,2,3,4,5,6
0,5.1,['Michael Pollak'],"['Scott Bruffey', 'Michael Pollak']","A powerful film that examines the ""progress"" of our present day culture through the eyes of the oppressor.",26,death of a nation,2010
1,3.8,['Josh Marchette'],['Josh Marchette'],-,-,turning it over,2010
2,-,['Jorge G. Satí'],"['Shai Bercovich', 'Jorge G. Satí']","Unraveled biography of young Shai's damaging memories in the twilight of his prematurely aged existence. Naked and emaciated in a agonizing galvanizing stadium, Shai will revive his epic and tormented struggle over the squares of the board of his own duality; Perhaps his last and desperate search for an epiphany about the meaning of existence, within a black fable abo... Leer todo",19,catarsis bioépica,2010
3,-,['Maria Norrman'],['Maria Norrman'],"An experimental film project of the story of Swedish silent film actress Sigrid Holmquist (1899-1970)'s life by using the silent film medium. It consists of already existing film clips from the 1910s and 1920s. The Borås-born Holmquist is played by eight different stars from her era, and she also plays herself. Her stubborn spirit led her to become a movie star in Sca... Leer todo",22,sigrid holmquist,2010
4,-,"['Jane Clarkson', 'Monette Lee']",['Bob Galley'],A lone woman isolates herself in the desert with her madness and conspiracy theories. Along comes a man wanting to relax on the beach. Or does he??!!,7,deserted beach,2010
5,-,['Jacob Mendel'],"['Joris-Karl Huysmans', 'Mazier Moshgbar', 'Jason Sudak']","A decadent tale examining a failed love triangle, told in a multi-screen cinematic narrative. Inspired by Joris-Karl Huysmans's 1884 handbook of decadence, ""À Rebours,"" tells the story of a nature-hating aesthete named Jean des Esseintes. Subtitled ""A Novel Without a Plot"" .",10,so deep in your room,2010
6,-,['Maciej Twardowski'],['Maciej Twardowski'],A child surrounded by the harmony of family celebration. The sacrament is entering a new stage of spiritual development. Is the idea of the sacrament now valid? Are situations created by adults incomprehensible for the child and cause fear?,14,sakrament,2010
7,-,['Martina Seminara'],['Martina Seminara'],"Ana and Maria are sisters. Through their lives, they have passed long summers in the family hotel that their grandparents built in Mar del Plata town in the early 50'. Only days before the old building is sold, they go on a ""good-bye"".",12,hotel astur,2010
8,-,['Mykee Morettini'],"['Charles Bukowski', 'Jay Sawyer']",Duke deals with the pressures of being a good father and husband while moonlighting as a drug dealer.,29,a .45 to pay the rent,2010
9,-,['Gang Wang'],-,An agent must find the confidential file to stop a tragedy.,-,confidential file,2010
10,-,['António da Cunha Telles'],-,-,20,agarrados à rocha,2010
11,-,"[""Sérgio Brás d'Almeida""]",-,-,15,satélites,2010
12,-,['Miriam Rahimi-Cholensky'],['Miriam Rahimi-Cholensky'],-,-,sun,2010
13,-,['Charles Brandon Hayes'],"['Charles Brandon Hayes', 'Nathan M. Williams']",-,15,what fall became,2010
14,-,['Sandra Santos'],-,-,7,e se...,2010
15,-,['Marina Gerosa'],['Marina Gerosa'],-,-,¿lobo está?,2010
16,-,['Sreebala K. Menon'],['Santosh Echikanam'],-,20,panthibhojanam,2010
17,8.1,"['Michael Rotchadl', 'Christan van Slyke']","['Michael Rotchadl', 'Christan van Slyke']",Up and coming teen struggling with coming out to friends at a senior celebration party.,-,halos & rainbows,2010
18,-,['Antonio Palomino'],['Antonio Palomino'],"This short film, recorded in Malaga, takes place in the middle of the Spanish Civil War. The story tells the social, political and religious confusions that are experienced in each of the sides and how the protagonist is suddenly submerged in the field of battle. We can say that in this short film the fundamental idea that wants to express society is the ideals of an ... Leer todo",-,el ambidiestro,2010
19,4.9,['Nick Narciso'],['Nick Narciso'],"We find ourselves roaming lost in a place where hope and light are absent. A place which seems both so dark and distant, yet too familiar, our sanity begins to fade. We've become absorbed into a reality that may exist elsewhere... or nowhere at all.",17,8 butterflies,2010
20,8.2,['Abdulmohsen Aldhabaan'],['Abdulmohsen Aldhabaan'],What relevance does a string of crimes committed in the past have in the present? The film depicts a story of past crimes leaving a fresh impression on our time today.,35,incomplete chronicles of a folk tale,2010
21,-,['Hussam Alhulwah'],['Hussam Alhulwah'],A man comes home to find out that his wife has left him. He uses his time alone in an unexpected way.,17,awdah,2010
22,-,['Matthew Lincoln'],['Matthew Lincoln'],The story of a private eye with a complicated past.,-,the price of silence,2010
23,-,['Andreas Abb'],['Andreas Abb'],"A middle-aged man sits alone at a hotel bar late at night, drowning his grief in alcohol. Only gradually does he tell his story to a curious young woman. Elsewhere, a mother in the hospital worries about the life of her seriously-injured son.",-,red and black,2010
24,-,['Nicole Combeau'],-,-,-,prete moi le feu,2010
25,-,"['Tylor Bohlman', 'Sky Tallone']","['Tylor Bohlman', 'Jesse Chandler', 'Sky Tallone']",A captive man determined to solve a simple puzzle must figure a way out of a mad man's dungeon.,4,citizen cube,2010
26,-,['Bianca Catbagan'],['Bianca Catbagan'],A grieving husband begins to see apparitions of his wife as he is seduced by a siren underwater.,-,laya,2010
27,-,['Tylor Bohlman'],"['Jake Lyall', 'Sky Tallone']",-,8,leaving sunnyfield,2010
28,-,['Vincenzo Caiazzo'],['Vincenzo Caiazzo'],-,42,la città della pioggia,2010
29,-,['Fabrice Poirier'],['Fabrice Poirier'],"A young girl with an angelic and naive air walks on the side of the road. One after the other, the men she meets disappear. In the background, the omnipresence of a man who will never speak.",7,déroute,2010
30,-,['Heath Allen'],['Heath Allen'],-,-,pact,2010
31,-,['Tero Peltoniemi'],['Tero Peltoniemi'],"Constrained to his wheelchair, a man lives in a hospital with his loved one. Every night, as she sleeps, he writes her a goodbye letter and sneaks out of their room. He rushes through the hallway toward a mysterious door in the other end, as two nurses chase him.",4,hospital break,2010
32,-,['Larry Ramjutton'],['Larry Ramjutton'],-,-,remember me,2010
