,0,1,2,3,4,5,6
0,5.3,Crispin Glover,Crispin Glover,"What Is It? is a bewildering, unnerving, surreal, blackly comic film from the visionary mind of Crispin Glover that tells the inner and outer struggles of a young man facing villains and demons on multiple planes.",72,what is it?,2005
1,,,,,,corpse bride,2005
2,4.6,Mikey Jackson,Mikey Jackson,"Neil, a punk rock vegetarian, is being forced to go into the family butcher business. He decides to save the world instead.",76,shooting vegetarians,2005
3,,,,,,the prodigy,2005
4,7.2,Murad Gumen,Murad Gumen,-,-,eve's preyer,2005
5,6.4,Gabriela Tscherniak,Gabriela Tscherniak,One night in Berlin approaching the year 2000 - a portrayal of the city's youth experiencing the excesses of the Berlin nightlife.,-,berlin nights,2005
6,-,Derek Lebrero,Derek Lebrero,"At the end of his first love, Pace leaves on a road trip with his buddy and discovers that not even Thousands of Miles can clear his conscience.",-,thousands of miles,2005
7,,,,,,death-defying acts,2005
8,5.0,Steve Balderson,"['Steve Balderson', 'Clark Balderson']","A young boy who lives in a dysfunctional home went to the carnival and met a singer. Shortly after, a murder took place. The town's sheriff is seeking answers. The singer is trying to escape her environment so is the boy. But both has to face their own horror.",112,firecracker,2005
9,6.0,Roger Spottiswoode,"['Patricia Highsmith', 'William Blake', 'Herron Donald', 'E Westlake']",Professional swindler hides the death of a famous artist in order to earn money by selling pictures on his own behalf.,-,ripley under ground,2005
10,8.1,Robert Fleet,"['Robert Fleet', 'Stephan Szpak Fleet']","A homeless dying veteran, trying to find a Unicorn he believes lives in the mountains above Los Angeles, convinces a Latina immigrant to join his quest, provoking a tragic-comic chase as they are followed by the Border Patrol and her Lowrider cousins.",-,last mountain,2005
11,,,,,,water,2005
12,7.2,Bashar Shbib,Bashar Shbib,"What's a girl to do when her biological clock is ticking, yet marriage and a husband are the furthest thing from her mind? SILENT MEN follows the trials and tribulations of one very modern-minded young woman, Patricia, as she tries to plan out her motherhood. With the enlisted help of her best friend Liam she interviews on video dozens of men to find a suitable potent... Leer todo",-,silent men,2005
13,5.6,Chris Jaymes,Chris Jaymes,"The youngest son of a legendary Hollywood producer, a Robert Evans type, accepts a bribe from his father to document his death.",96,in memory of my father,2005
14,4.9,['W W Vought'],['W W Vought'],"In the tradition of V for Vendetta, Underworld and X Men, Johnny Virus takes place in the Chicago Underworld of futuristic 1940's.",100,johnny virus,2005
15,7.9,Jeff Kennedy,Jeff Kennedy,A peek through the keyhole into a world tinged with mental instability. A place where patients and doctors help heal one another through shared faith and friendships.,115,heaven's neighbors,2005
16,7.0,Kraig Kuzirian,"['Raffi Alexander', 'Kraig Kuzirian', 'Anahid Nazarian']",Two cousins who were best friends as boys in Beirut reunite in Los Angeles 17 years later.,-,pomegranate,2005
17,6.9,Gustavo Corrado,Gustavo Corrado,"A young man murders a tango singer and, oppressed by guilt, begins a sinuous and obsessive path of redemption that will lead him to finally occupy the place left empty by the artist.",-,garúa,2005
18,,,,,,havoc,2005
19,6.9,['David E Rice'],['David E Rice'],A group of long time friends discover they are not who they thought they were on an evening out in the city.,-,lava lounge,2005
20,-,Néstor Lescovich,-,-,-,corazón voyeur,2005
21,6.7,Tristán Bauer,"['Trist Bauer', 'Miguel Bonasso', 'Edgardo Esteban']",-,100,iluminados por el fuego,2005
22,6.8,Chris Columbus,"['Jonathan Larson', 'Stephen Chbosky']",-,135,rent,2005
23,6.0,Kayvan Mashayekh,"['Belle Avery', 'Kayvan Mashayekh']","Kamran is a 12-year-old boy in the present day who discovers that his ancestor is 11th-century mathematician, astronomer, and poet of Persia Omar Khayyam. The story has been passed down in his family from one generation to another, and now it is his responsibility to keep the story alive for future generations. The film takes us from the modern day to the epic past wh... Leer todo",95,the keeper: the legend of omar khayyam,2005
24,5.1,Henry Jaglom,"['Victoria Foyt', 'Henry Jaglom']",A clothing designer tries to save her struggling boutique store by having a tumultuous weekend sale of her shop's inventory by playing on the addictions of shopping for the women of Beverly Hills.,106,going shopping,2005
25,6.2,David Beaird,David Beaird,"After a series of bad relationships, a man orders a mail order bride and receives more than he bargained for.",107,the civilization of maxwell bright,2005
26,5.9,Dan Pita,['Radu F Alexandru'],-,-,second-hand,2005
27,3.3,Nick Gregory,"['Nick Gregory', 'Kirk Aanes']","Two married couples are about to give new meaning to the phrase Love Thy Neighbor. When these best friends become more than just friends, one simple game leads to another. A twisted comedy about relationships, deception, and consequences.",89,love thy neighbor,2005
28,5.4,Raul Inglis,Raul Inglis,Life in the 50's with the hopper family !,-,better days,2005
29,,,,,,terror island,2005
30,4.8,Peter Wade,Peter Wade,"The true story of a suburban teenager whose one mistake leads to a life changing punishment. Peter Madigan, a 15-year-old from the suburbs commits a senseless act, causing a commuter train to derail killing the engineer.",92,tracks,2005
31,7.5,Nigel Dick,"['Nigel Dick', 'Jordan Freid']",An out of work actor concludes that if he can secure the part of the bad-guy in the next Die Hard movie all his problems will be solved.,94,callback,2005
32,4.4,['Jordan Walker Pearlman'],['Jordan Walker Pearlman'],A painter living in exile returns home where his family endured generations of racial violence. There he begins to fantasize the people around him as a series of portraits in order to bury the pain and find something beautiful to feel.,96,constellation,2005
33,5.1,Monika Mitchell,"['Frank Cassini', 'John Cassini']","A talented, but struggling actor is willing to go to any length to get a job - including ""break a leg""... especially those of other actors.",98,break a leg,2005
34,,,,,,because of winn-dixie,2005
35,6.9,Eduardo Mignogna,"['Graciela Maglie', 'Eduardo Mignogna']","After the funeral of his daughter Ema, Frank Osorio travels for the first time to Buenos Aires to tell his granddaughter Alina about her mother's death. But Frank has two big secrets: the first one is about the identity of Alina's father and the second one is related to a crime.",92,el viento,2005
36,6.5,Mike Mills,"['Walter Kirn', 'Mike Mills']",-,96,thumbsucker,2005
37,,,,,,dar de nuevo,2005
38,,,,,,kingdom of heaven,2005
39,2.8,Daniel Fridell,"['Daniel Fridell', 'Liam Leon', 'Grace Maharaj']",30-year-old Jon is released after seven years in prison and decides to put all his criminal activities behind him and start a new life.,-,blodsbröder,2005
40,-,Óscar Aizpeolea,Óscar Aizpeolea,-,-,el fuego y el soñador,2005
41,6.4,Alejandro Hartmann,Alejandro Hartmann,-,-,clon,2005
42,6.8,Ruba Nadda,Ruba Nadda,"One day, when Sabah least expects it, she falls in love with the wrong man. She's Muslim, he's not. Unbeknownst to her family, she goes on a whirlwind affair before both culture and love collide.",-,sabah,2005
43,6.5,Tizuka Yamasaki,Tizuka Yamasaki,"In 1908, Titoe leaves her country, Japan, to try her luck in Brazil. Her intention is just to get rich and return in five years. But life has other plans for her.",-,gaijin - ama-me como sou,2005
44,5.0,Jay Anania,Jay Anania,"Two strangers refuse to leave the seaside home of a couple, which leads to sexual tension and crime.",85,her name is carla,2005
45,,,,,,the great raid,2005
46,5.3,Michael Parness,Michael Parness,A suicidal comedy about two young lovers who get married and escape from a mental institution in search of new ways to die...and the white light.,115,my suicidal sweetheart,2005
47,5.3,Akbar Khan,"['Mohafiz Hyder', 'Akbar Khan', 'Fatima Meer']","The story of Shah Jahan...the love of his life...the life of his love...and his monument to love, the Taj Mahal.",-,taj mahal: an eternal love story,2005
48,,,,,,the perfect catch,2005
49,,,,,,l'est de la brúixola,2005
50,5.8,['Michael Phillip Edwards'],['Michael Phillip Edwards'],"When Christopher confronts his own violent temper which threatens his wife and children, he flies home to Jamaica and engages in an exorcism of the spirit, from his memories of his abusive, philandering, and hard-living father Henry, whose name for his only son was ""Runt"".",-,runt,2005
51,,,,,,mirror wars: reflection one,2005
52,,,,,,the inner circle,2005
53,4.8,John Irvin,"['Andrew Charas', 'Robert Malkani']",A detective tries to hunt down a serial killer who broadcasts his murders live on the internet.,87,dot.kill,2005
54,5.1,Stu Pollard,Stu Pollard,"In the perfectly normal town of Louisville, KY, there is a perfectly normal man living the perfect life. David Dailey is a man who has it all: A great career, a community that adores him, and an enduring marriage. But beneath the surface, David's idyllic world is crumbling. He's haunted by a series of mysterious notes that warn of an imminent fall from grace. His sult... Leer todo",94,keep your distance,2005
55,4.1,['Tim Mc Cann'],['Tim Mc Cann'],A desperate man ventures into a dangerous and sordid underworld of crime and pornography in search of his severed genitalia which is held for ransom by his disgruntled former girlfriend.,78,nowhere man,2005
56,4.9,Tony Fisher,Tony Fisher,"After a failed romance, Matt dates a string of women and falls for his mate?s girlfriend in his quest to understand the opposite sex.",80,the trouble with men and women,2005
57,,,,,,antikörper,2005
