,0,1,2,3,4,5,6
0,,,,,,shulie,2015
1,-,Armando Milano,Armando Milano,"A young journalist on his first assignment falls in love with his subject, an up and coming nightclub singer.",9,rosie & me,2015
2,-,Ryan Chapel,"['Anthony Bello', 'Michael Robert', 'Jess Stainbrook']",A mysterious messenger delivers blank invitations to unsuspecting people that have more in common than we think.,-,the invite,2015
3,-,Daniel Molnár,Anita Pataki,"A girl realizes, she's in The Sims.",11,zöld fény,2015
4,,,,,,memòries,2015
5,-,Patrick Konior,-,-,-,christmas for the rest of us,2015
6,,,,,,jeremy,2015
7,-,Hiroki Wakamatsu,Tasha Cohan,Carly decides to interview her father for a school project; the subject: why she was taken away from her mother.,15,this other american life,2015
8,-,Benjamin Wilkinson,Benjamin Wilkinson,"Austin, a 19-year-old, non-verbal autistic boy, desperately seeks to escape his mother's over-protective hands and discover his own freedom. Through his journey to find independence and solitude, Austin and his mother establish a new level of communication and connection.",-,austin,2015
9,-,"['Pardis Azizi', 'Arash Parnousi']",Pardis Azizi,Hamed's dead body is found in his apartment. The police investigates the case by interviewing one of his friends and the neighbors.,7,the first act,2015
10,-,Miguel Ibarra,"['Miguel Ibarra', 'Mauricio Valdez']",-,-,islandia,2015
11,-,Miguel Ibarra,"['Miguel Ibarra', 'Mauricio Valdez']",-,-,alchy,2015
12,-,-,Giulia Gerosa,-,-,kalós,2015
13,-,Dino Santoro,Dino Santoro,"In the aftermath of a serious nuclear contamination, Victor and Darline live barricaded at home, wear gas masks and raise a child in a world that seems to have no future. They try not to succumb, to establish a new normal, but something shocking will definitely mark their destiny... Leer todo",20,interno 8,2015
14,-,Tristan Bera,"['Tristan Bera', 'Beverly Charpentier', 'Joris Karl Huysmans']",Based on Des Esseintes' literary black feast in A Rebours (1884) by Joris-Karl Huysmans.,23,diner noir istanbul,2015
15,5.5,"['Tristan Bera', 'Ana Vaz']","['Tristan Bera', 'Ana Vaz']","The ecologic crisis is a political, economic and social crisis. It is also cinematographic, as cinema coincides historically and in a critical and descriptive way with the development of the Anthropocene. ""A Film, Reclaimed"" is a conversation, an essay that reads the terrestrial ... Leer todo",20,"un film, réclamé",2015
16,6.6,Paul Briganti,"['Jocelyn De', 'Boer Dawn Luebbe']","In this dark comedy of manners, soccer moms Jill and Lisa seek the approval of their ""friends"" - at all costs. This surreal world is just on the edge of consciousness; suburbia through the looking glass. Every adult wears painful braces on their straight teeth, couples coordinate... Leer todo",15,greener grass,2015
17,-,Theun Hens,Theun Hens,-,-,ruis,2015
18,,,,,,1976,2015
19,-,['Raul Andres Hernandez'],['Raul Andres Hernandez'],-,-,the girl in pieces,2015
20,-,Jackson Young,Jackson Young,"After being peer pressured by his friends to go fight, B-Nasty finds out the true meaning of being a real man.",16,real nigga,2015
21,-,Ilona Codaccioni,Ilona Codaccioni,-,-,i disgraziati,2015
22,-,Tina Kruger,Stiaan Smith,-,24,beurtkrag,2015
23,-,Jimena Muhlia,Jimena Muhlia,"After her suit is broken, Maria must face her own shame to get on stage.",5,after the birds,2015
24,-,Adam Offutt,Friedrich Reimer,An inflammatory talk radio host realizes too late how his words can harm the people closest to him.,8,next victim,2015
